Payments to suppliers over £500 - January 2026,,,,,,,,
,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Account,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Agency Supply Staff,710090,Housing Property Services,A11300,14/01/2026,21044497,"3,240.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,710090,Housing Property Services,A11300,14/01/2026,21044499,"3,530.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,710090,Housing Property Services,A11300,14/01/2026,21044504,"3,750.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Disrepair Costs,710090,Housing Property Services,A45120,14/01/2026,21043134,"6,500.00",BOND TURNER LIMITED CLIENT ACCOUNT
Norwich City Council,Disrepair Costs,710090,Housing Property Services,A45120,14/01/2026,21043133,"7,250.00",SATCHELL MORAN SOLICITORS
Norwich City Council,Other Hired & Contracting Services,540010,Procurement Team,A51200,14/01/2026,21043960,"4,017.00",IN-TEND LIMITED
Norwich City Council,Programmed Maint(ES/Prop Grp),220000,Investment Properties,A25600,14/01/2026,21043164,"4,569.80",UK POWER NETWORKS SERVICES (COMMERCIAL) LIMITED
Norwich City Council,Projects,710030,Tenancy Services & Income Manager,A49300,14/01/2026,21043467,"2,395.00",NORFOLK COUNTY COUNCIL
Norwich City Council,Staff Training Expenses,710090,Housing Property Services,A10800,14/01/2026,21043534,680,CHARTERED INSTITUTE OF HOUSING
Norwich City Council,Street Furniture Mtce,421030,Highways Ground & Tree Maint,A28000,14/01/2026,21043183,"1,750.00",BEN WILLIS COMMERCIAL LANDSCAPING LTD
Norwich City Council,Street Furniture Mtce,421030,Highways Ground & Tree Maint,A28000,14/01/2026,21043183,"2,000.00",BEN WILLIS COMMERCIAL LANDSCAPING LTD
Norwich City Council,Tenants Contents Ins Premiun,740010,General HRA Premises,A29500,14/01/2026,21043440,"10,552.12",AON UK LTD
Norwich City Council,Water Hygiene upgrades,X95010,Housing & Community Safety HRA Capital,C11860,14/01/2026,21043775,611,IMPACT RENEWABLES LTD
Norwich City Council,Disabled Adaptations,X95010,Housing & Community Safety HRA Capital,C11900,15/01/2026,21043500,"6,500.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Exp on Grants,X90010,Housing & Community Safety GF Capital,C12500,15/01/2026,21044807,"5,994.00",GASWISE SERVICES LTD
Norwich City Council,Exp on Loans/Financial Asstnce,X90010,Housing & Community Safety GF Capital,C12600,15/01/2026,21043500,"1,079.64",ASPIRE ADAPTATIONS LIMITED
Norwich City Council,General Repairs & Mtce,410045,Syrian Refugee Programme,A20300,15/01/2026,21043557,535,HYSPEK PROPERTY MAINTENANCE LTD
Norwich City Council,General Repairs & Mtce,410040,Private Sector Leasing Scheme,A20300,15/01/2026,21043537,"2,450.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Homelessness,410030,Homelessness,A40200,15/01/2026,21044332,805.35,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Setup and Grit Bins,421030,Highways Ground & Tree Maint,A51860,15/01/2026,21043691,"2,254.03",GLASDON UK LTD
Norwich City Council,Staff Training Expenses,314040,Resources,A10800,15/01/2026,21043802,560,NATIONAL CENTRE FOR WRITING COMMERCIAL LIMITED
Norwich City Council,Street Furniture Mtce,421030,Highways Ground & Tree Maint,A28000,15/01/2026,21043550,"1,500.00",BEN WILLIS COMMERCIAL LANDSCAPING LTD
Norwich City Council,Whole House Improvements,X95010,Housing & Community Safety HRA Capital,C10300,15/01/2026,21043772,"3,960.38",DUCTCLEAN (UK) LIMITED
Norwich City Council,Whole House Improvements,X95010,Housing & Community Safety HRA Capital,C10300,15/01/2026,21043770,"7,472.45",DUCTCLEAN (UK) LIMITED
Norwich City Council,IT Services - Development Fund,321026,IT Applications,A50600,16/01/2026,21043706,"3,125.00",GRAVITAS RECRUITMENT GROUP LTD
Norwich City Council,IT Services - Development Fund,321026,IT Applications,A50600,16/01/2026,21043599,"16,250.00",NEC SOFTWARE SOLUTIONS UK LTD
Norwich City Council,Other Hired & Contracting Services,520020,Democratic Services,A51200,16/01/2026,21043694,"1,426.75",DISCREET SECURITY LIMITED
Norwich City Council,Professional Advice/Fees,520040,Land Searches,A51300,16/01/2026,21043538,"3,145.10",NORFOLK COUNTY COUNCIL
Norwich City Council,"Property Repairs, Maintenance & Alterations (Reactive)",160000,Open Spaces,A20200,16/01/2026,21043738,665,ELITE EQUIPMENT SERVICES & SALES LTD
Norwich City Council,Staff Training Expenses,710090,Housing Property Services,A10800,16/01/2026,21043751,680,CHARTERED INSTITUTE OF HOUSING
Norwich City Council,Hire of Property,410031,Rough Sleepers,A30100,17/01/2026,21043631,"1,870.00",YOUR PRIORITY HEALTHCARE LIMITED
Norwich City Council,Disabled Adaptations,X95010,Housing & Community Safety HRA Capital,C11900,18/01/2026,21043887,983.87,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Disabled Adaptations,X95010,Housing & Community Safety HRA Capital,C11900,18/01/2026,21043887,"13,573.03",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,410010,Private Sector Housing,A11300,19/01/2026,21043731,"1,739.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,640235,Strategic Asset Management,A11300,19/01/2026,21043600,"2,219.90",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Contract Cleaning,643040,Multi-Storey Car Parks,A26600,19/01/2026,21044156,849.83,NORWICH CITY SERVICES LTD
Norwich City Council,Homelessness,410030,Homelessness,A40200,19/01/2026,21044330,"1,840.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Homelessness,410030,Homelessness,A40200,19/01/2026,21044329,"2,520.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,New Constructn/Convrsn/Renovtn,X90020,"Strategy, Engagement & Culture GF Capital",C10100,19/01/2026,21043711,975,REDACTED PERSONAL DATA
Norwich City Council,New Constructn/Convrsn/Renovtn,X90070,Planning & Regulatory Services GF Capital,C10100,19/01/2026,21043890,"5,420.66",NORWICH CITY SERVICES LTD
